title,description,release_date,tags,rating
Жизнь прекрасна,"Вторая мировая война. Италия.Фашисты арестовывают всех евреев и отправляют их в концлагерь, откуда выйти живым практически невозможно. Туда попадают отец с маленьким сыном. Жена, не смотря на то, что она по происхождению итальянка и арест ей не грозил, добровольно отправляется следом за ними.Чтобы спасти сына, отец рассказывает ему, что все происходящее - большая и увлекательная игра в борьбе за главный приз - настоящий танк, а победить может только тот мальчик, который ни разу не попадется на глаза местным надзирателям...",20.12.1997,"военный, драма, комедия, мелодрама",8.91/10
Зеленая миля,"Чернокожий осужденный Джон Коффи (Майкл Кларк Дункан) умеет исцелять людей простым прикосновением рук. Бог даровал ему чувствовать всю боль мира, как физическую, так и душевную. И Коффи способен лечить, забирать и передавать плохую энергию, воскрешать умерших.Приехав как-то на съмочную площадку, Стивен Кинг решил посидеть на электрическом стуле. Его привязали как положено и на голову надели колпак. Даже несмотря на то, что стул был бутафорским, Кинг запаниковал и попросил немедленно его освободить.",10.12.1999,"драма, криминал, фэнтези",9.18/10
Терминатор 2: Судный день,"Первая попытка убить Сару Коннор еще до рождения ее сына провалилась. Скайнет посылает в прошлое нового, более совершенного Терминатора, чтобы убить самого Джона Коннора, который в будущем сможет привести людей к победе над машинами. Сопротивлению удалось найти защитника. Вопрос только в том, кто первый найдет будущего спасителя человечества.",03.07.1991,"боевик, триллер, фантастика",9.41/10
Звездные войны: Эпизод 4 - Новая надежда,"Принцесса Лейя - предводительница повстанцев захвачена злобными силами ненавистной Империи, но она успевает передать сообщение своим друзьям, которое прячет в роботе R2D2 и на спасательной капсуле отправляет его и его друга C-3PO в открытый космос. А в это время на дальней и пустынной планете Татуин легендарный рыцарь Джедай Оби Ван Кеноби знакомится с молодым Люком Скайуокером. Но имперские войска ищут роботов, которые по стечению обстоятельств оказались на этой же планете. Они убивают всех, кто им мешает. Печальная участь постигает и родных Люка и ему ничего не остается, как принять предложение Оби Вана и отправиться на помощь повстанцем, но они еще не знают, что им предстоит сражаться с самым страшным оружием Императора - ""Звездой Смерти""...",25.05.1977,"боевик, приключения, фантастика, фэнтези",8.92/10
Назад в будущее,"Марти был обычным выпускником, пока его ""сумасшедший"" друг, профессор Док Браун не изобрел машину времени. На Делориане, модель которого очень напоминает космический корабль, он отправляется в прошлое, чтобы встретить свою маму-школьницу, и свести ее с отцом - недотяпой. Если он не успеет возродить в родителях интерес к друг другу, велика вероятность того, что будущее изменится и вместе с не возникшей симпатией двух людей, так не появится и сам Марти.",15.08.1985,"боевик, комедия, приключения, фантастика",9.15/10
Унесенные призраками,"Маленькая Тихиро вместе с мамой и папой переезжают в новый дом. Заблудившись по дороге, они оказываются в странном пустынном городе, где родители девочки превращаются в свиней. Отважная Тихиро должна придумать, как избавиться их от чар коварной колдуньи.",20.07.2001,"аниме, детектив, мультфильм, приключения, семейный, фэнтези",8.77/10
Пианист,"Владислав Шпильман - известный музыкант, всеми силами пытающийся выжить в Варшавском гетто во время Второй мировой войны. Он переживает сильную драму, расставаясь со своей семьей, оставаясь в разрушающемся городе. Его жизнь на волоске: голод, нападения немцев, одиночество и страх.",25.09.2002,"биографический, военный, драма, музыка",8.72/10
Паразиты,"Семья безработных не желает трудиться и живут за счет шантажа богатых людей, устраивая им подставы. Но однажды, проявив интерес к очередному богатею, они запутываются в неожиданном инциденте.",21.05.2019,"драма, комедия, триллер",8.28/10
Психо,"Мэрион Крейн похищает 40 тысяч долларов, сбегает из города и останавливается на ночь в придорожном мотеле, которым управляет застенчивый молодой человек по имени Норман Бэйтс. Эта ночь становится для Мэрион последней.Чтобы зрители не узнали финал фильма, Альфред Хичкок скупил почти весь тираж романа Роберта Блоха ""Психо"", вышедший в 1959 году.",25.08.1960,"детектив, триллер, ужасы",8.70/10
Гладиатор,"Великий генерал Максимус должен был стать наследником кесаря Марка Аврелия. Но родной сын императора приказывает убить Максимуса. Генералу удается спастись, но приходится стать сначала рабом, а потом - гладиатором.Реальный император Коммод был единственным кесарем, участвовавшим в гладиаторских боях. Только в отличие от героя Хоакина Феникса он сражался неоднократно и был убит не на арене, а во дворце гладиатором Нарциссом.",04.05.2000,"боевик, драма, исторический, приключения",9.09/10
