,title,description,release_date,tags,rating
29,Назад в будущее,"Марти был обычным выпускником, пока его ""сумасшедший"" друг, профессор Док Браун не изобрел машину времени. На Делориане, модель которого очень напоминает космический корабль, он отправляется в прошлое, чтобы встретить свою маму-школьницу, и свести ее с отцом - недотяпой. Если он не успеет возродить в родителях интерес к друг другу, велика вероятность того, что будущее изменится и вместе с не возникшей симпатией двух людей, так не появится и сам Марти.",15.08.1985,"боевик, комедия, приключения, фантастика",9.15/10
30,Унесенные призраками,"Маленькая Тихиро вместе с мамой и папой переезжают в новый дом. Заблудившись по дороге, они оказываются в странном пустынном городе, где родители девочки превращаются в свиней. Отважная Тихиро должна придумать, как избавиться их от чар коварной колдуньи.",20.07.2001,"аниме, детектив, мультфильм, приключения, семейный, фэнтези",8.77/10
31,Пианист,"Владислав Шпильман - известный музыкант, всеми силами пытающийся выжить в Варшавском гетто во время Второй мировой войны. Он переживает сильную драму, расставаясь со своей семьей, оставаясь в разрушающемся городе. Его жизнь на волоске: голод, нападения немцев, одиночество и страх.",25.09.2002,"биографический, военный, драма, музыка",8.72/10
32,Паразиты,"Семья безработных не желает трудиться и живут за счет шантажа богатых людей, устраивая им подставы. Но однажды, проявив интерес к очередному богатею, они запутываются в неожиданном инциденте.",21.05.2019,"драма, комедия, триллер",8.28/10
33,Психо,"Мэрион Крейн похищает 40 тысяч долларов, сбегает из города и останавливается на ночь в придорожном мотеле, которым управляет застенчивый молодой человек по имени Норман Бэйтс. Эта ночь становится для Мэрион последней.Чтобы зрители не узнали финал фильма, Альфред Хичкок скупил почти весь тираж романа Роберта Блоха ""Психо"", вышедший в 1959 году.",25.08.1960,"детектив, триллер, ужасы",8.70/10
34,Гладиатор,"Великий генерал Максимус должен был стать наследником кесаря Марка Аврелия. Но родной сын императора приказывает убить Максимуса. Генералу удается спастись, но приходится стать сначала рабом, а потом - гладиатором.Реальный император Коммод был единственным кесарем, участвовавшим в гладиаторских боях. Только в отличие от героя Хоакина Феникса он сражался неоднократно и был убит не на арене, а во дворце гладиатором Нарциссом.",04.05.2000,"боевик, драма, исторический, приключения",9.09/10
35,Король Лев,"На глаза у малыша Симбы погиб его отец, король Лев Муфаса. Спасаясь от мести интригана дяди Шрама, в панике Симба сбежал из родной стаи в тропические джунгли.Слегка оправившись от шока, львенок начал привыкать к новой обстановке. Тем более, что скоро в его жизни появилось два самых веселых в мире друга. Но нельзя отречься от своего прошлого, повзрослевшему Симбе все же придется вернуться в дом во имя справедливости.",02.07.1994,"детский, драма, комедия, мультфильм, мюзикл, приключения, семейный",8.95/10
36,Человек-паук: Паутина вселенных,"Продолжение истории о подростке из Нью-Йорка Майлзе Моралесе, случайным образом получившим сверхспособности, с которым зрители могли познакомиться в анимационном фильме ""Человек-паук: Через вселенные"" 2018 года.",01.06.2023,"боевик, кинокомикс, мультфильм, приключения, семейный, фантастика",8.60/10
37,Отступники,"Полицейские внедряют в окружение мафиози Фрэнка Костелло Билли Костигана. Но и у Костелло есть свой человек в полиции - Колин Салливан. При этом каждая из враждующих сторон знает о существовании ""крота"" в своих рядах.Консультантом фильма был отставной полицейский Томас Даффи. Он участвовал в расследовании дела бостонского гангстера Уайти Балгера, который стал прототипом Фрэнка Костелло.",26.09.2006,"драма, криминал, триллер",8.80/10
38,Одержимость,"История о молодом музыканте, преодолевающем различные препятствия на пути к осуществлению мечты всей своей жизни - стать одним из лучших джазовых барабанщиков.",13.11.2014,"драма, музыка",8.78/10
39,Американская история Х,"Дерек Виньярд вернулся из тюрьмы, чтобы найти своего младшего брата Дэнни, втянутого в ту же неонацистскую группировку, из-за нахождения в которой Дерек отсидел срок. После гибели отца у Дерека свое понятие справедливости, свое видения плохого и хорошего в окружающем мире. Но главной задачей на тот момент для него было убедить Дэнни уйти из банды.",12.02.1999,"драма, криминал",8.58/10
40,Леон,"Леон - профессиональный убийца. Он с легкостью выполняет самые сложные заказы и всегда придерживается одного правила: "" Не убивать ни женщин, ни детей!"" Однажды он становится свидетелем того, как ""продажные полицейские"" убивают всю семью наркокурьера за то, что он припрятал немного товара. Чудом остается в живых только девочка Матильда, которую Леон прячет у себя дома, а потом оставляет у себя жить. Она ходит по магазинам и учит его читать, а он взамен учит ее своим профессиональным навыкам. Но такая идиллия не может продолжаться долго...",14.09.1994,"боевик, драма, криминал, триллер",8.95/10
41,Могила светлячков,"Трагическая история о маленьком мальчике и его младшей  сестренке, которые пытаются выжить в Японии во время Второй Мировой Войны. ",16.04.1988,"аниме, военный, драма, мультфильм",8.61/10
