,title,description,release_date,tags,rating
231,Хатико: Самый верный друг,"Фильм о великой преданности и замечательной дружбе снят по одной истории, основанной на реальных событиях, которые произошли в Японии в начале 20-го века. Речь идет о верном псе, который каждый день провожал, а затем встречал своего хозяина после работы на вокзале. Но однажды хозяин пса умер, но тот все равно каждый день, в течение долгих девяти лет, до самой своей смерти, прибегал на вокзал встречать родного человека.Проникшись мужеством верного пса, через некоторое время,  потрясенные японцы поставили памятник Другу Человека.",08.07.2009,"драма, семейный",8.71/10
232,Звуки музыки,Живущая в Австрии девушка-сирота соглашается стать гувернанткой у обладающего ужасным характером офицера ВМФ и его семерых детей.,29.03.1965,"биографический, драма, мюзикл, семейный",9.06/10
233,Мой отец и мой сын,"История обычной турецкой семьи, которую в 1980 году разлучил военный переворот. Но спустя годы, когда старые обиды забыты, отец и сын решают встретиться, чтобы примириться, решить судьбу маленького Дениза и познакомить его наконец-то с дедом.",18.11.2005,"драма, семейный",6.00/10
234,Служанка,"Гениальный мошенник и искусная воровка объединяют усилия, чтобы попытаться завладеть состоянием богатой японской наследницы...",01.06.2016,"драма, мелодрама, эротика",7.62/10
235,Быть или не быть,"В оккупированной нацистами Польше актерская труппа оказывается вовлечена в игры одного из солдат с немецким шпионом, цель которых - раскрыть последнего...",02.05.1942,"военный, комедия",10.00/10
236,В диких условиях,"Окончив успешно престижный Университет Эмори,  Кристофер МакКэндлесс переводит накопленные за время учебы все свои деньги в благотворительный фонд, а это целых 24 тысячи долларов, и автостопом отправляется на Аляску, чтобы почувствовать  на себе все прелести дикой природы. В дороге Кристофер встречает много интересных людей, которые так или иначе оказывают влияние на его дальнейшую судьбу. ",21.09.2007,"биографический, драма, приключения",8.32/10
237,Битва за Алжир,Фильм о самой кровавой революции 19-го века. ,08.09.1966,"военный, драма, исторический",7.60/10
238,Гроздья гнева,"Во времена Великой депрессии бедная семья из Оклахомы вынуждена покинуть свою ферму и отправиться на запад в Калифорнию, надеясь хоть как-то улучшить свою жизнь.",09.05.1940,драма,8.20/10
239,День сурка,"Амбициозный телевизионный ведущий Фил Коннорс каждый год, уже много лет, приезжает в маленький уютный городок в Штате Пенсильвания на празднования Дня Сурка. Но уехать из этого города ему не удается, так как время для него останавливается на дате 2 февраля. И что бы он ни делал, где бы он не оказывался - в тюрьме, после ограбления; в морге, после самоубийства; в чужой постели, у какой-то красотки, каждое утро он все просыпается в своей постели, в отеле 2 февраля и ему снова надо идти и делать репортаж о сурке...",12.02.1993,"комедия, мелодрама, фэнтези",8.97/10
240,Стальной гигант,"История о том, как 9ти-летний мальчик подружился с роботом из космоса. Но американский агент хочет во что бы то ни стало уничтожить робота. Но мальчик старается защитить своего друга-робота. ",06.08.1999,"драма, мультфильм, семейный, фантастика",8.73/10
241,Сука любовь,"Три взаимосвязанных истории, герои которых принадлежат разным социальным прослойкам. Все они соберутся вместе и столкнуться в одном страшном ДТП. Октавио и его сестра, Даниэль и Виктория, Эль Чиво и любимые им бездомные псы - единственным, что их всех объединяло до аварии, было чувство любви, разной, но сильной.",16.04.2000,"драма, триллер",8.10/10
242,Ребекка,"Семейная пара приезжает в Мэндэрли (поместье Де Уинтер). Новую миссис Де Уинтер повсюду преследуют напоминания о Ребекке - прежней хозяйке Мэндэрли, и даже прислуга отказывается принимать молодую жену Максимиллиана, будто боясь осквернить память предыдущей хозяйки.",20.06.1940,"детектив, драма, мелодрама, триллер",8.38/10
243,Прислуга,60-е годы прошлого века. Америка. Юг.Фильм объединяет судьбы двух чернокожих и одной белой женщин. У каждой из них непростая и тяжелая судьба. Но все они хотят найти справедливость в этом безжалостном мире и изо всех сил пытаются изменить свои судьбы...,10.08.2011,драма,8.29/10
244,Хладнокровный Люк,Упорный и упрямый мужчина отказывается смиряться с тюремными правилами. ,01.12.1967,"драма, криминал",8.00/10
245,Это случилось однажды ночью,"Испорченная богатая наследница убегает из дому и неожиданно находит поддержку в лице мужчины, который оказывается пронырливым репортером. И их встреча была не случайна, он следил за ней, чтобы написать о ней шокирующую правду. Но только его коварный план дает свой и в дело вмешивается любовь.",23.02.1934,"комедия, мелодрама",8.60/10
246,"Париж, Техас","История уже не молодого человека по имени Трэвис, потерявшего себя на 4 года в американской глуши, в одноименном городке - Париже...",19.09.1984,драма,7.33/10
247,Аладдин,"В сказочном городе Аграба живет Аладдин - вор с добрым сердцем. Но здесь же, во дворце, живет злой маг Джаффар, который хочет править миром. Для этого он должен завладеть лампой, в которой живет Джинн, чтобы тот исполнял все его желания. Но принести лампу из запретного города может только человек с кристально чистым и добрым сердцем.Джаффар находит Аладдина и просит выполнить его просьбу. Тот соглашается и ввергается в пучину опасных приключений, в результате которых он найдет новых друзей и любовь...",30.04.1993,"комедия, мелодрама, мультфильм, мюзикл, приключения, семейный, фэнтези",8.66/10
248,Запах женщины,"Чарли вот-вот окончит школу. Он полон надежд на будущее, но есть одна проблема, которая может перечеркнуть все его планы: отсутствие денег. Чтобы заработать немного для обучения в университете он соглашается на подработку: ему нужно провести день благодарения с отставным полковником Френсисом Слейдом. Фрэнсис слеп, он не может обойтись без помощи посторонних. Взяв своего нового помощника, он собирается как следует провести выходные в Нью-Йорке. Роскошный праздник, который он считает последним в своей жизни. ",18.02.1993,драма,8.59/10
